 Bwd Packet Length Std, Bwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packets/s, Packet Length Std, Max Packet Length, Average Packet Size, Packet Length Mean, Fwd IAT Std, min_seg_size_forward, Bwd Header Length, Fwd Header Length, Fwd Header Length.1, Active Min, Total Length of Bwd Packets, Subflow Bwd Bytes, act_data_pkt_fwd, Total Backward Packets
0,0,6,6,9174.311927,0,6,9,6,0,20,20,20,20,0,6,6,0,1
0,0,6,6,19230.76923,0,6,9,6,0,20,20,20,20,0,6,6,0,1
0,0,6,6,29411.76471,0,6,9,6,0,20,20,20,20,0,6,6,0,1
0,0,0,0,0,0,6,9,6,0,20,0,40,40,0,0,0,1,0
0,0,0,0,0,0,6,9,6,0,20,0,40,40,0,0,0,1,0
0,0,0,0,0,0,6,9,6,0,20,0,40,40,0,0,0,1,0
0,0,6,6,23809.52381,0,6,9,6,0,20,20,20,20,0,6,6,0,1
0,0,0,0,0,0,6,9,6,0,20,0,40,40,0,0,0,1,0
0,208.3333333,0,0,0,14.43375673,31,34,22.66666667,0,20,0,40,40,0,0,0,1,0
0,208.3333333,0,0,0,14.43375673,31,34,22.66666667,0,20,0,40,40,0,0,0,1,0
0,208.3333333,0,0,0,14.43375673,31,34,22.66666667,0,20,0,40,40,0,0,0,1,0
0,208.3333333,0,0,0,14.43375673,31,34,22.66666667,0,20,0,40,40,0,0,0,1,0
0,156.25,0,0,0,12.5,31,16.33333333,12.25,0.707106781,20,0,60,60,0,0,0,2,0
0,0,0,0,18518.51852,0,0,0,0,0,32,32,32,32,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,32,0,64,64,0,0,0,0,0
0,0,0,0,6493.506494,0,0,0,0,0,32,32,32,32,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,32,0,64,64,0,0,0,0,0
0,0,0,0,8474.576271,0,0,0,0,0,32,32,32,32,0,0,0,0,1
